31935	-57726	-1127	-652	-858	921	0	
32347	-57904	-950	-641	-875	984	0	
31797	-57721	-1104	-606	-892	972	0	
32221	-57949	-1007	-669	-847	921	0	
31757	-57732	-1064	-635	-887	932	0	
32101	-57926	-1001	-658	-858	955	0	
31712	-57755	-1115	-664	-892	938	0	
32066	-57926	-967	-618	-824	950	0	
31729	-57715	-1087	-629	-921	950	0	
31775	-57932	-972	-629	-875	944	0	
31523	-57721	-1093	-641	-869	984	0	
31529	-57915	-984	-635	-887	950	0	
31580	-57921	-995	-675	-841	927	0	
31403	-57721	-1070	-641	-841	915	0	
31563	-57869	-1024	-635	-852	967	0	
31643	-57692	-1104	-681	-892	950	0	
31609	-57892	-978	-669	-835	932	0	
31580	-57721	-1115	-629	-869	972	0	
31563	-57881	-955	-635	-858	978	0	
31592	-57726	-1064	-669	-847	921	0	
31443	-57881	-967	-658	-812	1007	0	
31409	-57703	-1087	-641	-892	967	0	
31220	-57875	-1001	-601	-818	961	0	
31254	-57709	-1110	-646	-824	892	0	
31168	-57875	-961	-623	-841	1001	0	
31208	-57709	-1098	-658	-835	898	0	
31008	-57898	-984	-635	-829	995	0	
31191	-57721	-1087	-595	-875	955	0	
31048	-57892	-990	-629	-812	950	0	
31225	-57761	-1104	-658	-852	915	0	
30997	-57904	-1001	-646	-812	978	0	
31243	-57698	-1098	-652	-875	950	0	
30888	-57841	-961	-692	-795	944	0	
31254	-57709	-1093	-652	-824	944	0	
30928	-57869	-978	-675	-795	967	0	
31266	-57721	-1138	-675	-835	887	0	
30814	-57915	-1001	-629	-812	972	0	
31208	-57715	-1098	-652	-778	955	0	
30631	-57846	-938	-675	-864	978	0	
31174	-57675	-1133	-635	-829	932	0	
30596	-57875	-967	-669	-858	967	0	
31048	-57669	-1081	-635	-858	927	0	
30402	-57829	-961	-646	-818	978	0	
31002	-57692	-1104	-669	-818	938	0	
30310	-57829	-1012	-681	-778	950	0	
30997	-57703	-1121	-646	-824	915	0	
30293	-57846	-967	-641	-795	921	0	
30899	-57721	-1098	-675	-841	892	0	
30333	-57835	-978	-658	-858	955	0	
30917	-57709	-1127	-681	-858	944	0	
30093	-57869	-1024	-635	-864	921	0	
30837	-57721	-1173	-652	-847	909	0	
29973	-57841	-967	-646	-818	944	0	
30774	-57703	-1064	-664	-824	984	0	
29910	-57875	-961	-635	-824	950	0	
30671	-57692	-1081	-652	-824	921	0	
29801	-57898	-978	-658	-784	984	0	
30396	-57709	-1058	-692	-835	944	0	
29509	-57864	-932	-698	-841	955	0	
30230	-57721	-1098	-612	-835	944	0	
29321	-57852	-978	-692	-904	921	0	
30345	-57709	-1081	-664	-875	955	0	
29315	-57835	-1018	-692	-824	961	0	
30127	-57686	-1098	-658	-852	978	0	
29201	-57812	-978	-669	-869	990	0	
30064	-57646	-1052	-629	-824	938	0	
29080	-57778	-961	-709	-858	967	0	
29979	-57623	-1104	-646	-869	978	0	
29098	-57783	-990	-658	-841	967	0	
30007	-57623	-1127	-606	-829	950	0	
29012	-57778	-1024	-623	-858	1001	0	
29921	-57686	-1110	-618	-858	938	0	
28863	-57801	-1007	-618	-829	984	0	
29881	-57692	-1161	-675	-824	938	0	
28869	-57864	-990	-675	-829	972	0	
29916	-57698	-1110	-675	-818	915	0	
28846	-57841	-1001	-652	-852	927	0	
28932	-57812	-984	-629	-807	984	0	
30139	-57709	-1104	-664	-869	950	0	
28915	-57806	-972	-635	-829	967	0	
30041	-57721	-1098	-646	-841	967	0	
28766	-57806	-1024	-652	-818	898	0	
29933	-57721	-1098	-618	-858	921	0	
28634	-57852	-995	-635	-835	978	0	
29916	-57721	-1104	-635	-847	938	0	
28571	-57795	-961	-652	-847	961	0	
29938	-57738	-1110	-612	-841	887	0	
28560	-57852	-984	-618	-807	995	0	
29938	-57732	-1104	-635	-847	864	0	
29944	-57686	-1121	-669	-829	944	0	
28571	-57789	-995	-618	-818	1007	0	
29973	-57669	-1110	-618	-869	932	0	
28606	-57818	-904	-618	-807	961	0	
30041	-57726	-1121	-641	-824	835	0	
28663	-57818	-955	-675	-807	961	0	
30007	-57698	-1121	-652	-835	869	0	
28560	-57801	-1007	-681	-812	978	0	
29944	-57749	-1115	-646	-887	904	0	
28468	-57806	-950	-658	-864	955	0	
29836	-57698	-1115	-595	-801	932	0	
28171	-57806	-944	-623	-852	927	0	
29681	-57715	-1058	-669	-835	927	0	
28022	-57835	-967	-669	-812	950	0	
29710	-57715	-1070	-589	-835	904	0	
28045	-57772	-938	-652	-824	921	0	
29572	-57703	-1115	-652	-818	944	0	
27931	-57812	-972	-601	-847	978	0	
